State,Accidents,Severity
AL,19321,2.128351102
AR,10935,2.256241427
AZ,56486,2.069552598
CA,795469,2.041998171
CO,25340,2.662273086
CT,29762,2.265035952
DC,9133,2.190955874
DE,4842,2.502271789
FL,400926,2.069359323
GA,40086,2.519533004
IA,9607,2.356719059
ID,8544,2.11821161
IL,47105,2.548880161
IN,20850,2.461534772
KS,9033,2.219971217
KY,6638,2.345736668
LA,47224,2.054306402
MA,6392,2.361702128
MD,64873,2.311792272
ME,2185,2.103967168
MI,43843,2.335994343
MN,97165,2.047085456
MO,29633,2.246583201
MS,5317,2.19924812
MT,15964,2.037396642
NC,91361,2.118364309
ND,2258,2.011957484
NE,3320,2.315963855
NH,3863,2.127263321
NJ,52900,2.24138974
NM,2370,2.37721519
NV,6197,2.226077134
NY,108047,2.216198206
OH,24407,2.486623786
OK,8806,2.191119691
OR,126297,2.07370529
PA,99975,2.20344086
RI,4451,2.155695349
SC,89216,2.050226417
SD,201,2.467661692
TN,52613,2.081253683
TX,149037,2.184940652
UT,49080,2.07289655
VA,113531,2.176650372
VT,365,2.397260274
WA,32541,2.305062358
WI,7892,2.835233029
WV,7632,2.185927673
WY,990,2.571717172